"","precinct","DEM","DEM_AbsenteebyMail","DEM_AdvanceinPerson","DEM_ElectionDay","DEM_Provisional","REP","REP_AbsenteebyMail","REP_AdvanceinPerson","REP_ElectionDay","REP_Provisional","RodneyStooksbury","RodneyStooksbury_AbsenteebyMail","RodneyStooksbury_AdvanceinPerson","RodneyStooksbury_ElectionDay","RodneyStooksbury_Provisional","TomPrice","TomPrice_AbsenteebyMail","TomPrice_AdvanceinPerson","TomPrice_ElectionDay","TomPrice_Provisional","ballotsCast","totalVoters","COUNTY","PRECINCTS","IDRV","DRV","BC_TV","IDRV_BC","IDRV_TV","DRV_BC","DRV_TV","DEM_IDRV","DEM_DRV","DEM_BC","DEM_TV","REP_IDRV","REP_DRV","REP_BC","REP_TV","DPW","RPW","IPW"
"68","DUNWOODY LIBRARY",461,40,318,103,0,1420,124,797,498,1,461,40,318,103,0,1420,124,797,498,1,1966,2234,"DeKalb",1,1881,1881,88.0035810205909,95.676500508647,84.1987466427932,95.676500508647,84.1987466427932,24.508240297714,24.508240297714,23.4486266531027,20.6356311548791,75.491759702286,75.491759702286,72.2278738555442,63.5631154879141,0,1,0
"69","EMBRY HILLS",689,40,406,242,1,649,55,326,267,1,689,40,406,242,1,649,55,326,267,1,1413,1695,"DeKalb",1,1338,1338,83.3628318584071,94.692144373673,78.9380530973451,94.692144373673,78.9380530973451,51.4947683109118,51.4947683109118,48.761500353857,40.6489675516224,48.5052316890882,48.5052316890882,45.930644019816,38.2890855457227,1,0,0
"70","EVANSDALE ELEM",1086,51,650,385,0,701,61,341,299,0,1086,51,650,385,0,701,61,341,299,0,1867,2389,"DeKalb",1,1787,1787,78.1498534951863,95.7150508837708,74.8011720385098,95.7150508837708,74.8011720385098,60.7722439843313,60.7722439843313,58.168184252812,45.4583507743826,39.2277560156687,39.2277560156687,37.5468666309588,29.3428212641272,1,0,0
"71","GEORGETOWN SQUARE",1071,38,637,394,2,1142,60,545,535,2,1071,38,637,394,2,1142,60,545,535,2,2335,3139,"DeKalb",1,2213,2213,74.3867473717744,94.7751605995717,70.5001592863969,94.7751605995717,70.5001592863969,48.3958427474017,48.3958427474017,45.8672376873662,34.1191462249124,51.6041572525983,51.6041572525983,48.9079229122056,36.3810130614846,0,1,0
"72","HAWTHORNE ELEM",1522,63,880,579,0,798,46,366,386,0,1522,63,880,579,0,798,46,366,386,0,2425,3166,"DeKalb",1,2320,2320,76.595072646873,95.6701030927835,73.2785849652558,95.6701030927835,73.2785849652558,65.6034482758621,65.6034482758621,62.7628865979381,48.0732785849653,34.3965517241379,34.3965517241379,32.9072164948454,25.2053063802906,1,0,0
"73","HENDERSON MILL ELEM",1085,69,676,340,0,920,67,514,339,0,1085,69,676,340,0,920,67,514,339,0,2128,2595,"DeKalb",1,2005,2005,82.0038535645472,94.2199248120301,77.2639691714836,94.2199248120301,77.2639691714836,54.1147132169576,54.1147132169576,50.9868421052632,41.8111753371869,45.8852867830424,45.8852867830424,43.2330827067669,35.4527938342967,1,0,0
"74","HUNTLEY HILLS ELEM",1195,41,642,511,1,687,38,342,307,0,1195,41,642,511,1,687,38,342,307,0,1968,2560,"DeKalb",1,1882,1882,76.875,95.630081300813,73.515625,95.630081300813,73.515625,63.4962805526036,63.4962805526036,60.7215447154472,46.6796875,36.5037194473964,36.5037194473964,34.9085365853659,26.8359375,1,0,0
"75","KINGSLEY ELEM",517,62,301,154,0,1313,121,642,550,0,517,62,301,154,0,1313,121,642,550,0,1901,2208,"DeKalb",1,1830,1830,86.0960144927536,96.2651236191478,82.8804347826087,96.2651236191478,82.8804347826087,28.2513661202186,28.2513661202186,27.1962125197265,23.4148550724638,71.7486338797814,71.7486338797814,69.0689110994214,59.4655797101449,0,1,0
"76","KITTREDGE ELEM",602,54,370,174,4,949,76,526,347,0,602,54,370,174,4,949,76,526,347,0,1611,1884,"DeKalb",1,1551,1551,85.5095541401274,96.2756052141527,82.3248407643312,96.2756052141527,82.3248407643312,38.8136686009026,38.8136686009026,37.3680943513346,31.9532908704883,61.1863313990974,61.1863313990974,58.9075108628181,50.3715498938429,0,1,0
"77","LAKESIDE HIGH",1128,90,645,393,0,1138,115,567,455,1,1128,90,645,393,0,1138,115,567,455,1,2383,2760,"DeKalb",1,2266,2266,86.3405797101449,95.0902224087285,82.1014492753623,95.0902224087285,82.1014492753623,49.7793468667255,49.7793468667255,47.3352916491817,40.8695652173913,50.2206531332745,50.2206531332745,47.7549307595468,41.231884057971,0,1,0
"78","LIVSEY ELEM",482,27,345,110,0,591,42,352,197,0,482,27,345,110,0,591,42,352,197,0,1126,1295,"DeKalb",1,1073,1073,86.949806949807,95.2930728241563,82.8571428571429,95.2930728241563,82.8571428571429,44.9207828518173,44.9207828518173,42.8063943161634,37.2200772200772,55.0792171481827,55.0792171481827,52.4866785079929,45.6370656370656,0,1,0
"79","MIDVALE ELEM",592,33,427,131,1,895,68,532,295,0,592,33,427,131,1,895,68,532,295,0,1578,1828,"DeKalb",1,1487,1487,86.3238512035011,94.233206590621,81.3457330415755,94.233206590621,81.3457330415755,39.8117014122394,39.8117014122394,37.5158428390368,32.3851203501094,60.1882985877606,60.1882985877606,56.7173637515843,48.9606126914661,0,1,0
"80","MIDVALE ROAD",1135,48,721,366,0,794,58,398,338,0,1135,48,721,366,0,794,58,398,338,0,2016,2437,"DeKalb",1,1929,1929,82.7246614690193,95.6845238095238,79.1546983996717,95.6845238095238,79.1546983996717,58.83877656817,58.83877656817,56.2996031746032,46.5736561345917,41.16122343183,41.16122343183,39.3849206349206,32.58104226508,1,0,0
"81","MONTGOMERY ELEM",614,50,332,232,0,1058,96,491,470,1,614,50,332,232,0,1058,96,491,470,1,1757,2072,"DeKalb",1,1672,1672,84.7972972972973,95.1622083096187,80.6949806949807,95.1622083096187,80.6949806949807,36.7224880382775,36.7224880382775,34.9459305634604,29.6332046332046,63.2775119617225,63.2775119617225,60.2162777461582,51.0617760617761,0,1,0
"82","MT. VERNON EAST",502,36,311,155,0,1382,98,718,566,0,502,36,311,155,0,1382,98,718,566,0,1969,2273,"DeKalb",1,1884,1884,86.6256049274087,95.6830878618588,82.8860536735592,95.6830878618588,82.8860536735592,26.6454352441614,26.6454352441614,25.4951752158456,22.085349758029,73.3545647558386,73.3545647558386,70.1879126460132,60.8007039155301,0,1,0
"83","MT. VERNON WEST",552,46,346,160,0,1066,97,529,440,0,552,46,346,160,0,1066,97,529,440,0,1685,1952,"DeKalb",1,1618,1618,86.3217213114754,96.0237388724036,82.8893442622951,96.0237388724036,82.8893442622951,34.1161928306551,34.1161928306551,32.7596439169139,28.2786885245902,65.8838071693449,65.8838071693449,63.2640949554896,54.6106557377049,0,1,0
"84","NORTH PEACHTREE",590,20,283,286,1,470,31,187,252,0,590,20,283,286,1,470,31,187,252,0,1113,1483,"DeKalb",1,1060,1060,75.0505731625084,95.2380952380952,71.4767363452461,95.2380952380952,71.4767363452461,55.6603773584906,55.6603773584906,53.0098831985624,39.7842211732974,44.3396226415094,44.3396226415094,42.2282120395328,31.6925151719488,1,0,0
"85","OAKCLIFF ELEM",642,25,248,369,0,297,23,110,163,1,642,25,248,369,0,297,23,110,163,1,1005,1452,"DeKalb",1,939,939,69.2148760330578,93.4328358208955,64.6694214876033,93.4328358208955,64.6694214876033,68.370607028754,68.370607028754,63.8805970149254,44.2148760330578,31.629392971246,31.629392971246,29.5522388059701,20.4545454545455,1,0,0
"86","PEACHTREE MIDDLE",1238,58,762,415,3,809,72,401,336,0,1238,58,762,415,3,809,72,401,336,0,2151,2774,"DeKalb",1,2047,2047,77.5414563806777,95.165039516504,73.7923576063446,95.165039516504,73.7923576063446,60.4787493893503,60.4787493893503,57.5546257554626,44.6286950252343,39.5212506106497,39.5212506106497,37.6104137610414,29.1636625811103,1,0,0
"87","PLEASANTDALE ELEM",1563,33,804,720,6,442,32,228,182,0,1563,33,804,720,6,442,32,228,182,0,2102,3192,"DeKalb",1,2005,2005,65.8521303258145,95.3853472882969,62.8132832080201,95.3853472882969,62.8132832080201,77.9551122194514,77.9551122194514,74.3577545195052,48.9661654135338,22.0448877805486,22.0448877805486,21.0275927687916,13.8471177944862,1,0,0
"88","SILVER LAKE",1181,96,729,356,0,1797,105,961,731,0,1181,96,729,356,0,1797,105,961,731,0,3139,3915,"DeKalb",1,2978,2978,80.1787994891443,94.8709780184772,76.066411238825,94.8709780184772,76.066411238825,39.6574882471457,39.6574882471457,37.6234469576298,30.1660280970626,60.3425117528543,60.3425117528543,57.2475310608474,45.9003831417625,0,1,0
"89","SKYLAND",497,26,254,215,2,738,33,288,416,1,497,26,254,215,2,738,33,288,416,1,1314,1582,"DeKalb",1,1235,1235,83.0594184576485,93.9878234398782,78.0657395701644,93.9878234398782,78.0657395701644,40.2429149797571,40.2429149797571,37.8234398782344,31.4159292035398,59.7570850202429,59.7570850202429,56.1643835616438,46.6498103666245,0,1,0
"90","TILLY MILL ROAD",354,31,167,156,0,776,57,293,426,0,354,31,167,156,0,776,57,293,426,0,1180,1363,"DeKalb",1,1130,1130,86.5737344093911,95.7627118644068,82.9053558327219,95.7627118644068,82.9053558327219,31.3274336283186,31.3274336283186,30,25.9721203228173,68.6725663716814,68.6725663716814,65.7627118644068,56.9332355099046,0,1,0
"91","TUCKER",980,57,685,238,0,1059,70,648,341,0,980,57,685,238,0,1059,70,648,341,0,2192,2611,"DeKalb",1,2039,2039,83.952508617388,93.0200729927007,78.0926847950977,93.0200729927007,78.0926847950977,48.0627758705248,48.0627758705248,44.7080291970803,37.5335120643432,51.9372241294752,51.9372241294752,48.3120437956204,40.5591727307545,0,1,0
"92","TUCKER LIBRARY",982,27,701,254,0,719,45,448,226,0,982,27,701,254,0,719,45,448,226,0,1798,2245,"DeKalb",1,1701,1701,80.0890868596882,94.6051167964405,75.7683741648107,94.6051167964405,75.7683741648107,57.7307466196355,57.7307466196355,54.6162402669633,43.7416481069042,42.2692533803645,42.2692533803645,39.9888765294772,32.0267260579065,1,0,0
"93","WARREN TECH",479,27,211,241,0,320,27,107,186,0,479,27,211,241,0,320,27,107,186,0,843,1076,"DeKalb",1,799,799,78.3457249070632,94.7805456702254,74.2565055762082,94.7805456702254,74.2565055762082,59.9499374217772,59.9499374217772,56.8208778173191,44.5167286245353,40.0500625782228,40.0500625782228,37.9596678529063,29.7397769516729,1,0,0
"94","WINTERS CHAPEL",401,23,211,166,1,633,44,234,355,0,401,23,211,166,1,633,44,234,355,0,1084,1248,"DeKalb",1,1034,1034,86.8589743589744,95.3874538745387,82.8525641025641,95.3874538745387,82.8525641025641,38.7814313346228,38.7814313346228,36.9926199261993,32.1314102564103,61.2185686653772,61.2185686653772,58.3948339483395,50.7211538461538,0,1,0
"95","02J",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2219,1934,"Fulton",1,1,1,114.736297828335,0.0450653447498873,0.0517063081695967,0.0450653447498873,0.0517063081695967,0,0,0,0,100,100,0.0450653447498873,0.0517063081695967,0,1,0
"96","AP01A",432,30,288,112,2,916,52,620,243,1,432,30,288,112,2,916,52,620,243,1,1393,1739,"Fulton",1,1348,1348,80.1035077630822,96.7695620961953,77.5158136860264,96.7695620961953,77.5158136860264,32.0474777448071,32.0474777448071,31.0122038765255,24.8418631397355,67.9525222551929,67.9525222551929,65.7573582196698,52.673950546291,0,1,0
"97","AP01B",212,5,144,62,1,253,16,158,79,0,212,5,144,62,1,253,16,158,79,0,492,685,"Fulton",1,465,465,71.8248175182482,94.5121951219512,67.8832116788321,94.5121951219512,67.8832116788321,45.5913978494624,45.5913978494624,43.0894308943089,30.9489051094891,54.4086021505376,54.4086021505376,51.4227642276423,36.9343065693431,0,1,0
"98","AP01C",507,28,359,120,0,1056,67,720,269,0,507,28,359,120,0,1056,67,720,269,0,1608,1952,"Fulton",1,1563,1563,82.3770491803279,97.2014925373134,80.0717213114754,97.2014925373134,80.0717213114754,32.4376199616123,32.4376199616123,31.5298507462687,25.9733606557377,67.5623800383877,67.5623800383877,65.6716417910448,54.0983606557377,0,1,0
"99","AP01D",243,15,159,69,0,286,21,179,86,0,243,15,159,69,0,286,21,179,86,0,554,713,"Fulton",1,529,529,77.6998597475456,95.4873646209386,74.1935483870968,95.4873646209386,74.1935483870968,45.9357277882798,45.9357277882798,43.8628158844765,34.0813464235624,54.0642722117202,54.0642722117202,51.6245487364621,40.1122019635344,0,1,0
"100","AP021",705,26,515,162,2,1304,91,905,306,2,705,26,515,162,2,1304,91,905,306,2,2089,2491,"Fulton",1,2009,2009,83.8619028502609,96.1704164672092,80.6503412284223,96.1704164672092,80.6503412284223,35.0920856147337,35.0920856147337,33.748204882719,28.3018867924528,64.9079143852663,64.9079143852663,62.4222115844902,52.3484544359695,0,1,0
"101","AP022",605,32,451,122,0,829,63,532,234,0,605,32,451,122,0,829,63,532,234,0,1490,1860,"Fulton",1,1434,1434,80.1075268817204,96.241610738255,77.0967741935484,96.241610738255,77.0967741935484,42.1896792189679,42.1896792189679,40.6040268456376,32.5268817204301,57.8103207810321,57.8103207810321,55.6375838926174,44.5698924731183,0,1,0
"102","AP02B",79,32,36,11,0,149,55,70,24,0,79,32,36,11,0,149,55,70,24,0,246,352,"Fulton",1,228,228,69.8863636363636,92.6829268292683,64.7727272727273,92.6829268292683,64.7727272727273,34.6491228070175,34.6491228070175,32.1138211382114,22.4431818181818,65.3508771929825,65.3508771929825,60.5691056910569,42.3295454545455,0,1,0
"103","AP03",279,3,139,136,1,118,1,48,69,0,279,3,139,136,1,118,1,48,69,0,417,619,"Fulton",1,397,397,67.3667205169628,95.2038369304556,64.1357027463651,95.2038369304556,64.1357027463651,70.2770780856423,70.2770780856423,66.9064748201439,45.0726978998385,29.7229219143577,29.7229219143577,28.2973621103118,19.0630048465267,1,0,0
"104","AP04A",337,15,247,74,1,878,63,576,238,1,337,15,247,74,1,878,63,576,238,1,1252,1472,"Fulton",1,1215,1215,85.054347826087,97.0447284345048,82.5407608695652,97.0447284345048,82.5407608695652,27.7366255144033,27.7366255144033,26.9169329073482,22.8940217391304,72.2633744855967,72.2633744855967,70.1277955271566,59.6467391304348,0,1,0
"105","AP04B",103,4,80,19,0,206,12,140,54,0,103,4,80,19,0,206,12,140,54,0,322,364,"Fulton",1,309,309,88.4615384615385,95.9627329192547,84.8901098901099,95.9627329192547,84.8901098901099,33.3333333333333,33.3333333333333,31.9875776397516,28.2967032967033,66.6666666666667,66.6666666666667,63.9751552795031,56.5934065934066,0,1,0
"106","AP05",946,56,648,238,4,2211,132,1327,750,2,946,56,648,238,4,2211,132,1327,750,2,3257,3956,"Fulton",1,3157,3157,82.3306370070779,96.9296898986798,79.8028311425683,96.9296898986798,79.8028311425683,29.9651567944251,29.9651567944251,29.0451335584894,23.9130434782609,70.0348432055749,70.0348432055749,67.8845563401904,55.8897876643074,0,1,0
"107","AP06",330,12,256,62,0,957,43,691,223,0,330,12,256,62,0,957,43,691,223,0,1340,1647,"Fulton",1,1287,1287,81.3600485731633,96.044776119403,78.1420765027322,96.044776119403,78.1420765027322,25.6410256410256,25.6410256410256,24.6268656716418,20.0364298724954,74.3589743589744,74.3589743589744,71.4179104477612,58.1056466302368,0,1,0
"108","AP07A",816,48,544,224,0,1299,83,751,464,1,816,48,544,224,0,1299,83,751,464,1,2225,2853,"Fulton",1,2115,2115,77.9880827199439,95.0561797752809,74.1324921135647,95.0561797752809,74.1324921135647,38.5815602836879,38.5815602836879,36.6741573033708,28.6014721345952,61.4184397163121,61.4184397163121,58.3820224719101,45.5310199789695,0,1,0
"109","AP07B",322,18,243,61,0,763,51,506,203,3,322,18,243,61,0,763,51,506,203,3,1146,1353,"Fulton",1,1085,1085,84.7006651884701,94.6771378708551,80.1921655580192,94.6771378708551,80.1921655580192,29.6774193548387,29.6774193548387,28.0977312390925,23.7989652623799,70.3225806451613,70.3225806451613,66.5794066317627,56.3932002956393,0,1,0
"110","AP09A",1059,68,703,286,2,1734,114,1124,492,4,1059,68,703,286,2,1734,114,1124,492,4,2914,3612,"Fulton",1,2793,2793,80.6755260243632,95.8476321207962,77.3255813953488,95.8476321207962,77.3255813953488,37.9162191192266,37.9162191192266,36.3417982155113,29.3189368770764,62.0837808807734,62.0837808807734,59.5058339052848,48.0066445182724,0,1,0
"111","AP09B",265,7,191,67,0,276,9,195,72,0,265,7,191,67,0,276,9,195,72,0,562,681,"Fulton",1,541,541,82.5256975036711,96.2633451957295,79.4419970631424,96.2633451957295,79.4419970631424,48.9833641404806,48.9833641404806,47.153024911032,38.913362701909,51.0166358595194,51.0166358595194,49.1103202846975,40.5286343612335,0,1,0
"112","AP10",188,17,125,44,2,520,25,338,157,0,188,17,125,44,2,520,25,338,157,0,729,866,"Fulton",1,708,708,84.1801385681293,97.119341563786,81.7551963048499,97.119341563786,81.7551963048499,26.5536723163842,26.5536723163842,25.7887517146776,21.7090069284065,73.4463276836158,73.4463276836158,71.3305898491084,60.0461893764434,0,1,0
"113","AP12A",217,5,125,87,0,178,5,111,62,0,217,5,125,87,0,178,5,111,62,0,420,548,"Fulton",1,395,395,76.6423357664234,94.0476190476191,72.0802919708029,94.0476190476191,72.0802919708029,54.9367088607595,54.9367088607595,51.6666666666667,39.5985401459854,45.0632911392405,45.0632911392405,42.3809523809524,32.4817518248175,1,0,0
"114","AP12B",219,7,131,81,0,146,2,85,59,0,219,7,131,81,0,146,2,85,59,0,390,529,"Fulton",1,365,365,73.7240075614367,93.5897435897436,68.9981096408318,93.5897435897436,68.9981096408318,60,60,56.1538461538462,41.3988657844991,40,40,37.4358974358974,27.5992438563327,1,0,0
"115","AP12C",278,7,196,75,0,561,21,412,128,0,278,7,196,75,0,561,21,412,128,0,874,1116,"Fulton",1,839,839,78.3154121863799,95.9954233409611,75.1792114695341,95.9954233409611,75.1792114695341,33.134684147795,33.134684147795,31.8077803203661,24.910394265233,66.865315852205,66.865315852205,64.187643020595,50.2688172043011,0,1,0
"116","AP13",619,23,459,137,0,1160,76,815,269,0,619,23,459,137,0,1160,76,815,269,0,1847,2248,"Fulton",1,1779,1779,82.161921708185,96.3183540877098,79.1370106761566,96.3183540877098,79.1370106761566,34.7948285553682,34.7948285553682,33.5138061721711,27.5355871886121,65.2051714446318,65.2051714446318,62.8045479155387,51.6014234875445,0,1,0
"117","AP14",666,39,460,167,0,1451,92,939,417,3,666,39,460,167,0,1451,92,939,417,3,2213,2643,"Fulton",1,2117,2117,83.7306091562618,95.6619972887483,80.0983730609156,95.6619972887483,80.0983730609156,31.4596126594237,31.4596126594237,30.0948938093086,25.1986379114642,68.5403873405763,68.5403873405763,65.5671034794397,54.8997351494514,0,1,0
"118","JC01",1471,102,917,448,4,1748,101,1008,637,2,1471,102,917,448,4,1748,101,1008,637,2,3377,4228,"Fulton",1,3219,3219,79.872280037843,95.3212910867634,76.1352885525071,95.3212910867634,76.1352885525071,45.6974215594905,45.6974215594905,43.5593722238673,34.7918637653737,54.3025784405095,54.3025784405095,51.7619188628961,41.3434247871334,0,1,0
"119","JC02",575,43,369,163,0,811,99,443,269,0,575,43,369,163,0,811,99,443,269,0,1477,1836,"Fulton",1,1386,1386,80.4466230936819,93.8388625592417,75.4901960784314,93.8388625592417,75.4901960784314,41.4862914862915,41.4862914862915,38.9302640487475,31.318082788671,58.5137085137085,58.5137085137085,54.9085985104942,44.1721132897603,0,1,0
"120","JC03A",153,9,98,46,0,253,22,149,82,0,153,9,98,46,0,253,22,149,82,0,421,473,"Fulton",1,406,406,89.0063424947146,96.437054631829,85.8350951374207,96.437054631829,85.8350951374207,37.6847290640394,37.6847290640394,36.3420427553444,32.3467230443975,62.3152709359606,62.3152709359606,60.0950118764846,53.4883720930233,0,1,0
"121","JC03B",436,11,265,160,0,487,18,260,209,0,436,11,265,160,0,487,18,260,209,0,985,1224,"Fulton",1,923,923,80.4738562091503,93.7055837563452,75.4084967320261,93.7055837563452,75.4084967320261,47.237269772481,47.237269772481,44.2639593908629,35.6209150326797,52.762730227519,52.762730227519,49.4416243654822,39.7875816993464,0,1,0
"122","JC04A",1060,85,809,165,1,1829,203,1200,426,0,1060,85,809,165,1,1829,203,1200,426,0,3043,3649,"Fulton",1,2889,2889,83.3927103315977,94.9392047321722,79.1723759934229,94.9392047321722,79.1723759934229,36.6908965039806,36.6908965039806,34.8340453499836,29.0490545354892,63.3091034960194,63.3091034960194,60.1051593821886,50.1233214579337,0,1,0
"123","JC04B",79,3,57,19,0,90,6,63,21,0,79,3,57,19,0,90,6,63,21,0,178,230,"Fulton",1,169,169,77.3913043478261,94.9438202247191,73.4782608695652,94.9438202247191,73.4782608695652,46.7455621301775,46.7455621301775,44.3820224719101,34.3478260869565,53.2544378698225,53.2544378698225,50.561797752809,39.1304347826087,0,1,0
"124","JC05",586,17,421,147,1,843,18,554,269,2,586,17,421,147,1,843,18,554,269,2,1503,1864,"Fulton",1,1429,1429,80.6330472103004,95.0765136393879,76.6630901287554,95.0765136393879,76.6630901287554,41.0076976906928,41.0076976906928,38.9886892880905,31.4377682403433,58.9923023093072,58.9923023093072,56.0878243512974,45.225321888412,0,1,0
"125","JC06",526,35,326,165,0,1235,130,705,400,0,526,35,326,165,0,1235,130,705,400,0,1835,2350,"Fulton",1,1761,1761,78.0851063829787,95.9673024523161,74.936170212766,95.9673024523161,74.936170212766,29.8693923906871,29.8693923906871,28.6648501362398,22.3829787234043,70.1306076093129,70.1306076093129,67.3024523160763,52.5531914893617,0,1,0
"126","JC07",1074,74,730,270,0,1556,77,1015,463,1,1074,74,730,270,0,1556,77,1015,463,1,2762,3463,"Fulton",1,2630,2630,79.7574357493503,95.2208544532947,75.9457118105689,95.2208544532947,75.9457118105689,40.8365019011407,40.8365019011407,38.8848660391021,31.0135720473578,59.1634980988593,59.1634980988593,56.3359884141926,44.9321397632111,0,1,0
"127","JC08",698,28,525,143,2,1201,59,841,292,9,698,28,525,143,2,1201,59,841,292,9,1989,2395,"Fulton",1,1899,1899,83.0480167014614,95.4751131221719,79.2901878914405,95.4751131221719,79.2901878914405,36.7561874670879,36.7561874670879,35.0930115635998,29.1440501043841,63.2438125329121,63.2438125329121,60.3821015585721,50.1461377870564,0,1,0
"128","JC09",883,40,588,254,1,1023,56,588,377,2,883,40,588,254,1,1023,56,588,377,2,1999,2502,"Fulton",1,1906,1906,79.8960831334932,95.3476738369185,76.1790567545963,95.3476738369185,76.1790567545963,46.3273871983211,46.3273871983211,44.1720860430215,35.2917665867306,53.6726128016789,53.6726128016789,51.175587793897,40.8872901678657,0,1,0
"129","JC10",663,32,442,188,1,774,43,431,298,2,663,32,442,188,1,774,43,431,298,2,1524,1921,"Fulton",1,1437,1437,79.3336803748048,94.2913385826772,74.8047891723061,94.2913385826772,74.8047891723061,46.1377870563674,46.1377870563674,43.503937007874,34.5132743362832,53.8622129436326,53.8622129436326,50.7874015748031,40.2915148360229,0,1,0
"130","JC11",703,39,495,169,0,1479,84,1007,388,0,703,39,495,169,0,1479,84,1007,388,0,2278,2794,"Fulton",1,2182,2182,81.5318539727989,95.7857769973661,78.0959198282033,95.7857769973661,78.0959198282033,32.218148487626,32.218148487626,30.8604038630378,25.1610594130279,67.781851512374,67.781851512374,64.9253731343284,52.9348604151754,0,1,0
"131","JC12",445,42,351,52,0,1309,103,971,231,4,445,42,351,52,0,1309,103,971,231,4,1836,2197,"Fulton",1,1754,1754,83.5685025034137,95.5337690631808,79.8361401911698,95.5337690631808,79.8361401911698,25.3705815279361,25.3705815279361,24.2374727668845,20.2548930359581,74.6294184720639,74.6294184720639,71.2962962962963,59.5812471552116,0,1,0
"132","JC13A",315,26,226,63,0,1194,85,835,274,0,315,26,226,63,0,1194,85,835,274,0,1560,1898,"Fulton",1,1509,1509,82.1917808219178,96.7307692307692,79.504741833509,96.7307692307692,79.504741833509,20.8747514910537,20.8747514910537,20.1923076923077,16.5964172813488,79.1252485089463,79.1252485089463,76.5384615384615,62.9083245521602,0,1,0
"133","JC13B",27,3,20,4,0,176,18,130,28,0,27,3,20,4,0,176,18,130,28,0,210,259,"Fulton",1,203,203,81.0810810810811,96.6666666666667,78.3783783783784,96.6666666666667,78.3783783783784,13.3004926108374,13.3004926108374,12.8571428571429,10.4247104247104,86.6995073891626,86.6995073891626,83.8095238095238,67.953667953668,0,1,0
"134","JC14",503,40,372,91,0,1253,106,871,276,0,503,40,372,91,0,1253,106,871,276,0,1825,2197,"Fulton",1,1756,1756,83.0678197542103,96.2191780821918,79.9271734182977,96.2191780821918,79.9271734182977,28.6446469248292,28.6446469248292,27.5616438356164,22.8948566226673,71.3553530751708,71.3553530751708,68.6575342465753,57.0323167956304,0,1,0
"135","JC15",274,16,179,79,0,234,12,123,99,0,274,16,179,79,0,234,12,123,99,0,535,676,"Fulton",1,508,508,79.1420118343195,94.9532710280374,75.1479289940828,94.9532710280374,75.1479289940828,53.9370078740157,53.9370078740157,51.214953271028,40.5325443786982,46.0629921259843,46.0629921259843,43.7383177570093,34.6153846153846,1,0,0
"136","JC16",648,37,431,180,0,1132,47,664,420,1,648,37,431,180,0,1132,47,664,420,1,1862,2195,"Fulton",1,1780,1780,84.8291571753986,95.5961331901182,81.0933940774487,95.5961331901182,81.0933940774487,36.4044943820225,36.4044943820225,34.8012889366273,29.5216400911162,63.5955056179775,63.5955056179775,60.7948442534909,51.5717539863326,0,1,0
"137","JC18",617,23,464,129,1,1355,66,829,456,4,617,23,464,129,1,1355,66,829,456,4,2049,2455,"Fulton",1,1972,1972,83.4623217922607,96.2420693020986,80.3258655804481,96.2420693020986,80.3258655804481,31.2880324543611,31.2880324543611,30.1122498779893,25.132382892057,68.7119675456389,68.7119675456389,66.1298194241093,55.193482688391,0,1,0
